Mp_code,Mp_name,SUM_Tot_Po,SHAPE_Leng,SHAPE_Area,MP_Class
291083,Emanaleni,572,0.115396229158,0.0006017414665,NIP
291084,Lwandlana,65,0.0993580106786,0.0002577401425,NIP
291085,Emasunguzaneni,499,0.0756777874594,0.0001078034155,NIP
291086,Ngcose,398,0.0653335641929,0.000120322837,NIP
291087,Qambatha,92,0.0347361332939,0.000049979175,NIP
291088,Elusibeni,147,0.0395681161733,0.0000580640974999,NIP
291089,Stshayelo,612,0.240588863705,0.000429106723,NIP
291090,Luthengele,1333,0.150699510481,0.0003424476385,NIP
291091,Qukuswayo,772,0.0587992055727,0.000125925523,NIP
291092,Diphini,156,0.0454797204248,0.0000557850884999,NIP
291093,Mgceni,127,0.0342506487751,0.000013914514,NIP
291094,Matshadala,334,0.0325071734827,0.0000279835530001,NIP
291095,Ntsimbini A,1016,0.0679517522077,0.000152926048,NIP
291096,Lutatweni,564,0.0595459999779,0.0000655800884999,NIP
291097,Mevana,867,0.0820213570656,0.00013718916,NIP
291098,Esikhulu,2231,0.296077800487,0.0006122943965,NIP
291099,Gemvale,977,0.0928474227045,0.0001951672865,NIP
291100,Xovula,962,0.0814869161534,0.0002597213055,NIP
291101,Mduve,298,0.0332131260077,0.000040642607,NIP
291102,Mhlonishwa,67,0.0382789121181,0.000041860614,NIP
291103,Nonjonjo,194,0.0547540467369,0.00004959841,NIP
291104,Galatyeni,605,0.0468282398876,0.0000903756565,NIP
291105,Mtyolweni,618,0.0404261093405,0.0000811723829999,NIP
291106,Ntendokwana,1404,0.0852803436379,0.000186501279,NIP
291107,Emakhumsubeni,401,0.0571510193001,0.0001052184875,NIP
291108,Dakane,412,0.0696149095708,0.000191612721,NIP
291109,Qhoboshendlini,356,0.0861698607527,0.000172182388,NIP
291110,Tshitshane,742,0.147708237526,0.00022911425,NIP
291111,Lujazo,89,0.0601301554466,0.0001249245035,NIP
291112,Ntile,599,0.0949799392123,0.000370528348,NIP
291113,Ngqontisini,215,0.0601240736207,0.000107279532,NIP
291114,Emvubini,319,0.0624036305646,0.000166015915,NIP
291115,Mphakathini,77,0.0646584715855,0.000148676919,NIP
291116,Emanqondeni,320,0.0615376906094,0.0001674037005,NIP
291117,Esiphathe B,1315,0.0930500456939,0.000358659385,NIP
291118,Gabelana,1539,0.0679707904353,0.000191608691,NIP
291119,Isizilo,484,0.063957665219,0.000118174572,NIP
291120,Enhlanjeni,372,0.0762394321743,0.00012867715,NIP
291121,Tshakude,177,0.0490218460301,0.0000880456945001,NIP
291122,Esiphathe A,79,0.064246049706,0.0001927662535,NIP
291123,Ngcukuse,123,0.0518570994241,0.000077792891,NIP
291124,Chabaza,103,0.0449208729989,0.0000727803279999,NIP
291125,Khohlo,947,0.103879976175,0.000172996041,NIP
291126,Luphaphasi,1056,0.0704869700248,0.0001776628905,NIP
291127,Selwane,419,0.0918164305804,0.0003220866785,NIP
291128,Mbabalani,1354,0.1569698675,0.0004474580615,NIP
291129,Mvume,537,0.0697483905278,0.0002000928665,NIP
291130,Enyosana,309,0.0527396782225,0.0000884192814999,NIP
291131,Swazini,1103,0.109389547302,0.0002268814975,NIP
291132,Magumbini,642,0.0731085365269,0.0002493978,NIP
291133,Qhaka,2120,0.150070285605,0.0005386396,NIP
